time	V(vout)
1.663619755033659e-004	-3.127084e+000
1.683619755033661e-004	-3.350074e+000
1.703619755033664e-004	-3.520896e+000
1.723619755033667e-004	-3.636981e+000
1.743619755033669e-004	-3.697255e+000
1.762627507519640e-004	-3.700502e+000
1.782627507519643e-004	-3.646803e+000
1.802627507519646e-004	-3.536553e+000
1.822627507519648e-004	-3.370454e+000
1.842627507519651e-004	-3.150817e+000
1.862627507519653e-004	-2.880860e+000
1.882627507519656e-004	-2.564677e+000
1.902627507519659e-004	-2.207196e+000
1.922627507519661e-004	-1.814113e+000
1.942627507519664e-004	-1.391830e+000
1.962627507519667e-004	-9.477351e-001
1.982627507519669e-004	-4.911008e-001
2.002627507519672e-004	-2.706509e-002
2.018666744388678e-004	3.482184e-001
2.035855154329004e-004	7.453428e-001
2.055855154329007e-004	1.193987e+000
2.075855154329009e-004	1.623795e+000
2.095855154329012e-004	2.027744e+000
2.115855154329015e-004	2.399562e+000
2.135855154329017e-004	2.733282e+000
2.155855154329020e-004	3.023675e+000
2.175855154329023e-004	3.266139e+000
2.195855154329025e-004	3.456838e+000
2.215855154329028e-004	3.592761e+000
2.235855154329031e-004	3.671782e+000
2.255855154329033e-004	3.693640e+000
2.274533226493090e-004	3.660383e+000
2.294533226493093e-004	3.567888e+000
2.314533226493096e-004	3.420013e+000
2.334533226493098e-004	3.218206e+000
2.354533226493101e-004	2.965748e+000
2.374533226493104e-004	2.666729e+000
2.394533226493106e-004	2.325986e+000
2.414533226493109e-004	1.949035e+000
2.434533226493112e-004	1.541992e+000
2.454533226493114e-004	1.111565e+000
2.474533226493117e-004	6.654537e-001
2.494533226493120e-004	2.124819e-001
2.496467010059452e-004	1.696009e-001
2.500334577192134e-004	8.753656e-002
2.502300862769515e-004	4.875174e-002
2.503517872049568e-004	2.771316e-002
2.504452260683136e-004	1.415333e-002
2.505184536902259e-004	5.469165e-003
2.505798183301995e-004	-5.864633e-004
2.506360872948834e-004	-5.773610e-003
2.506905764234953e-004	-1.166550e-002
2.507480340998274e-004	-2.242392e-002
2.507745856282079e-004	-3.960939e-002
2.507924838506797e-004	-6.983026e-002
2.508145836074439e-004	-1.222892e-001
2.508253323844252e-004	-1.428674e-001
2.508403021619123e-004	-1.601656e-001
2.508561878091977e-004	-1.712102e-001
2.508763258290327e-004	-1.786244e-001
2.509050737606339e-004	-1.836973e-001
2.509411397706909e-004	-1.868856e-001
2.509936750406949e-004	-1.906070e-001
2.510629192808891e-004	-1.969588e-001
2.511693971951994e-004	-2.104811e-001
2.513236099530459e-004	-2.367939e-001
2.515798355585807e-004	-2.906373e-001
2.519833073516328e-004	-3.832096e-001
2.526872194199142e-004	-5.469375e-001
2.533390277482932e-004	-6.972402e-001
2.546426444050495e-004	-9.923002e-001
2.566426444050498e-004	-1.430721e+000
2.586426444050501e-004	-1.847223e+000
2.606426444050503e-004	-2.234097e+000
2.626426444050506e-004	-2.585473e+000
2.646426444050509e-004	-2.896098e+000
2.666426444050511e-004	-3.161306e+000
2.686426444050514e-004	-3.377160e+000
2.706426444050517e-004	-3.540443e+000
2.726426444050519e-004	-3.650666e+000
