Freq.	V(vout)
Step Information: G=15.625m  (Run: 1/7)
8.73031664480331e+001	(3.29658330277233e+001dB,1.83070222466027e+001°)
8.93367184301925e+001	(3.29766635761268e+001dB,1.78848481149773e+001°)
9.14176379229749e+001	(3.29869276951616e+001dB,1.74721729604604e+001°)
9.35470282574395e+001	(3.29966545293947e+001dB,1.70688104147296e+001°)
9.57260184645275e+001	(3.30058718022405e+001dB,1.66745746832209e+001°)
9.79557638736891e+001	(3.30146058700182e+001dB,1.62892808756139e+001°)
1.00237446725454e+002	(3.30228817760149e+001dB,1.59127453050128e+001°)
1.02572276798273e+002	(3.30307233042804e+001dB,1.55447857573122e+001°)
1.04961492049954e+002	(3.30381530329150e+001dB,1.51852217322794e+001°)
1.07406359274050e+002	(3.30451923866354e+001dB,1.48338746579088e+001°)
1.09908174771525e+002	(3.30518616884306e+001dB,1.44905680796139e+001°)
1.12468265038070e+002	(3.30581802101496e+001dB,1.41551278258201e+001°)
1.15087987467431e+002	(3.30641662218795e+001dB,1.38273821515021e+001°)
1.17768731071118e+002	(3.30698370400018e+001dB,1.35071618611834e+001°)
1.20511917214871e+002	(3.30752090738301e+001dB,1.31943004128805e+001°)
1.23319000372296e+002	(3.30802978707539e+001dB,1.28886340044295e+001°)
1.26191468896038e+002	(3.30851181598289e+001dB,1.25900016435841e+001°)
1.29130845806931e+002	(3.30896838937720e+001dB,1.22982452032194e+001°)
1.32138689601519e+002	(3.30940082893303e+001dB,1.20132094629200e+001°)
1.35216595078396e+002	(3.30981038660081e+001dB,1.17347421381685e+001°)
1.38366194183787e+002	(3.31019824831479e+001dB,1.14626938982924e+001°)
1.41589156876827e+002	(3.31056553753678e+001dB,1.11969183742612e+001°)
1.44887192014998e+002	(3.31091331863706e+001dB,1.09372721573679e+001°)
1.48262048260183e+002	(3.31124260011455e+001dB,1.06836147897629e+001°)
1.51715515005836e+002	(3.31155433765891e+001dB,1.04358087477521e+001°)
1.55249423325738e+002	(3.31184943705797e+001dB,1.01937194187077e+001°)
1.58865646944856e+002	(3.31212875695444e+001dB,9.95721507238497e+000°)
1.62566103232819e+002	(3.31239311145589e+001dB,9.72616682738174e+000°)
1.66352754220534e+002	(3.31264327260275e+001dB,9.50044861342233e+000°)
1.70227607640475e+002	(3.31287997269917e+001dB,9.27993713009723e+000°)
1.74192717991216e+002	(3.31310390651173e+001dB,9.06451180263900e+000°)
1.78250187626749e+002	(3.31331573334130e+001dB,8.85405473526703e+000°)
1.82402167871181e+002	(3.31351607897345e+001dB,8.64845066258851e+000°)
1.86650860159398e+002	(3.31370553751272e+001dB,8.44758689949901e+000°)
1.90998517204287e+002	(3.31388467310647e+001dB,8.25135328998432e+000°)
1.95447444191162e+002	(3.31405402156362e+001dB,8.05964215518552e+000°)
1.99999999999999e+002	(3.31421409187387e+001dB,7.87234824105171e+000°)
2.04658598456150e+002	(3.31436536763293e+001dB,7.68936866586838e+000°)
2.09425709610179e+002	(3.31450830837884e+001dB,7.51060286791588e+000°)
2.14303861047521e+002	(3.31464335084516e+001dB,7.33595255347993e+000°)
2.19295639228636e+002	(3.31477091013566e+001dB,7.16532164540578e+000°)
2.24403690860392e+002	(3.31489138082593e+001dB,6.99861623235906e+000°)
2.29630724299376e+002	(3.31500513799659e+001dB,6.83574451892972e+000°)
2.34979510987905e+002	(3.31511253820286e+001dB,6.67661677669021e+000°)
2.40452886923482e+002	(3.31521392038496e+001dB,6.52114529629661e+000°)
2.46053754162476e+002	(3.31530960672371e+001dB,6.36924434069952e+000°)
2.51785082358833e+002	(3.31539990344536e+001dB,6.22083009951242e+000°)
2.57649910338626e+002	(3.31548510157957e+001dB,6.07582064456808e+000°)
2.63651347711281e+002	(3.31556547767417e+001dB,5.93413588667703e+000°)
2.69792576518330e+002	(3.31564129447009e+001dB,5.79569753358947e+000°)
2.76076852920576e+002	(3.31571280153973e+001dB,5.66042904914849e+000°)
2.82507508924550e+002	(3.31578023589160e+001dB,5.52825561361371e+000°)
2.89087954149185e+002	(3.31584382254397e+001dB,5.39910408512433e+000°)
2.95821677633641e+002	(3.31590377507022e+001dB,5.27290296226477e+000°)
3.02712249687241e+002	(3.31596029611773e+001dB,5.14958234768990e+000°)
3.09763323782495e+002	(3.31601357790286e+001dB,5.02907391276261e+000°)
3.16978638492222e+002	(3.31606380268344e+001dB,4.91131086315446e+000°)
3.24362019471785e+002	(3.31611114321077e+001dB,4.79622790535793e+000°)
3.31917381487511e+002	(3.31615576316231e+001dB,4.68376121405830e+000°)
3.39648730492348e+002	(3.31619781755657e+001dB,4.57384840031385e+000°)
3.47560165749874e+002	(3.31623745315126e+001dB,4.46642848049423e+000°)
3.55655882007783e+002	(3.31627480882576e+001dB,4.36144184592871e+000°)
3.63940171721995e+002	(3.31631001594861e+001dB,4.25883023321854e+000°)
3.72417427332572e+002	(3.31634319873116e+001dB,4.15853669517027e+000°)
3.81092143592648e+002	(3.31637447456752e+001dB,4.06050557231059e+000°)
3.89968919951608e+002	(3.31640395436193e+001dB,3.96468246494640e+000°)
3.99052462993775e+002	(3.31643174284356e+001dB,3.87101420573706e+000°)
4.08347588933904e+002	(3.31645793886956e+001dB,3.77944883275023e+000°)
4.17859226170806e+002	(3.31648263571646e+001dB,3.68993556297509e+000°)
4.27592417900445e+002	(3.31650592136043e+001dB,3.60242476627124e+000°)
4.37552324789909e+002	(3.31652787874660e+001dB,3.51686793973399e+000°)
4.47744227713666e+002	(3.31654858604778e+001dB,3.43321768246056e+000°)
4.58173530553553e+002	(3.31656811691274e+001dB,3.35142767070394e+000°)
4.68845763063983e+002	(3.31658654070441e+001dB,3.27145263340406e+000°)
4.79766583803896e+002	(3.31660392272813e+001dB,3.19324832808802e+000°)
4.90941783137004e+002	(3.31662032445019e+001dB,3.11677151713376e+000°)
5.02377286301914e+002	(3.31663580370694e+001dB,3.04197994439235e+000°)
5.14079156553771e+002	(3.31665041490461e+001dB,2.96883231216592e+000°)
5.26053598379074e+002	(3.31666420921008e+001dB,2.89728825854066e+000°)
5.38306960785381e+002	(3.31667723473295e+001dB,2.82730833507293e+000°)
5.50845740667631e+002	(3.31668953669888e+001dB,2.75885398482905e+000°)
5.63676586252888e+002	(3.31670115761478e+001dB,2.69188752078025e+000°)
5.76806300625319e+002	(3.31671213742576e+001dB,2.62637210455237e+000°)
5.90241845333275e+002	(3.31672251366436e+001dB,2.56227172553233e+000°)
6.03990344080401e+002	(3.31673232159211e+001dB,2.49955118033261e+000°)
6.18059086502716e+002	(3.31674159433381e+001dB,2.43817605261411e+000°)
6.32455532033673e+002	(3.31675036300474e+001dB,2.37811269326917e+000°)
6.47187313859254e+002	(3.31675865683108e+001dB,2.31932820096452e+000°)
6.62262242965179e+002	(3.31676650326372e+001dB,2.26179040304511e+000°)
6.77688312278402e+002	(3.31677392808591e+001dB,2.20546783679778e+000°)
6.93473700905060e+002	(3.31678095551479e+001dB,2.15032973107506e+000°)
7.09626778467148e+002	(3.31678760829721e+001dB,2.09634598827674e+000°)
7.26156109540200e+002	(3.31679390780007e+001dB,2.04348716668898e+000°)
7.43070458194342e+002	(3.31679987409540e+001dB,1.99172446317744e+000°)
7.60378792641119e+002	(3.31680552604043e+001dB,1.94102969623264e+000°)
7.78090289988558e+002	(3.31681088135295e+001dB,1.89137528936409e+000°)
7.96214341106991e+002	(3.31681595668212e+001dB,1.84273425483946e+000°)
8.14760555608222e+002	(3.31682076767503e+001dB,1.79508017776500e+000°)
8.33738766940667e+002	(3.31682532903921e+001dB,1.74838720050250e+000°)
8.53159037603181e+002	(3.31682965460123e+001dB,1.70263000741791e+000°)
8.73031664480328e+002	(3.31683375736182e+001dB,1.65778380995654e+000°)
8.93367184301922e+002	(3.31683764954738e+001dB,1.61382433203926e+000°)
9.14176379229746e+002	(3.31684134265843e+001dB,1.57072779577384e+000°)
9.35470282574392e+002	(3.31684484751487e+001dB,1.52847090747460e+000°)
9.57260184645272e+002	(3.31684817429849e+001dB,1.48703084398639e+000°)
9.79557638736888e+002	(3.31685133259271e+001dB,1.44638523930237e+000°)
1.00237446725454e+003	(3.31685433141978e+001dB,1.40651217147353e+000°)
1.02572276798272e+003	(3.31685717927567e+001dB,1.36739014979943e+000°)
1.04961492049954e+003	(3.31685988416262e+001dB,1.32899810229531e+000°)
1.07406359274050e+003	(3.31686245361965e+001dB,1.29131536342752e+000°)
1.09908174771524e+003	(3.31686489475115e+001dB,1.25432166211138e+000°)
1.12468265038069e+003	(3.31686721425348e+001dB,1.21799710996319e+000°)
1.15087987467431e+003	(3.31686941844001e+001dB,1.18232218979972e+000°)
1.17768731071117e+003	(3.31687151326441e+001dB,1.14727774437818e+000°)
1.20511917214871e+003	(3.31687350434252e+001dB,1.11284496537058e+000°)
1.23319000372296e+003	(3.31687539697276e+001dB,1.07900538256285e+000°)
1.26191468896038e+003	(3.31687719615520e+001dB,1.04574085327496e+000°)
1.29130845806930e+003	(3.31687890660943e+001dB,1.01303355199258e+000°)
1.32138689601518e+003	(3.31688053279126e+001dB,9.80865960205161e-001°)
1.35216595078396e+003	(3.31688207890833e+001dB,9.49220856442367e-001°)
1.38366194183787e+003	(3.31688354893471e+001dB,9.18081306503718e-001°)
1.41589156876827e+003	(3.31688494662461e+001dB,8.87430653872971e-001°)
1.44887192014997e+003	(3.31688627552509e+001dB,8.57252510312780e-001°)
1.48262048260183e+003	(3.31688753898805e+001dB,8.27530746631738e-001°)
1.51715515005836e+003	(3.31688874018146e+001dB,7.98249483618714e-001°)
1.55249423325738e+003	(3.31688988209976e+001dB,7.69393083136779e-001°)
1.58865646944855e+003	(3.31689096757370e+001dB,7.40946139373158e-001°)
1.62566103232819e+003	(3.31689199927954e+001dB,7.12893470236823e-001°)
1.66352754220533e+003	(3.31689297974756e+001dB,6.85220108898843e-001°)
1.70227607640474e+003	(3.31689391137019e+001dB,6.57911295470877e-001°)
1.74192717991215e+003	(3.31689479640945e+001dB,6.30952468814426e-001°)
1.78250187626748e+003	(3.31689563700409e+001dB,6.04329258476527e-001°)
1.82402167871181e+003	(3.31689643517612e+001dB,5.78027476745633e-001°)
1.86650860159397e+003	(3.31689719283701e+001dB,5.52033110824444e-001°)
1.90998517204286e+003	(3.31689791179353e+001dB,5.26332315111091e-001°)
1.95447444191161e+003	(3.31689859375310e+001dB,5.00911403587383e-001°)
1.99999999999999e+003	(3.31689924032892e+001dB,4.75756842305340e-001°)
2.04658598456150e+003	(3.31689985304473e+001dB,4.50855241971716e-001°)
2.09425709610179e+003	(3.31690043333924e+001dB,4.26193350620286e-001°)
2.14303861047520e+003	(3.31690098257028e+001dB,4.01758046372300e-001°)
2.19295639228636e+003	(3.31690150201881e+001dB,3.77536330276777e-001°)
2.24403690860391e+003	(3.31690199289243e+001dB,3.53515319228119e-001°)
2.29630724299375e+003	(3.31690245632894e+001dB,3.29682238956061e-001°)
2.34979510987905e+003	(3.31690289339943e+001dB,3.06024417082600e-001°)
2.40452886923481e+003	(3.31690330511132e+001dB,2.82529276243399e-001°)
2.46053754162475e+003	(3.31690369241116e+001dB,2.59184327268387e-001°)
2.51785082358832e+003	(3.31690405618720e+001dB,2.35977162416150e-001°)
2.57649910338625e+003	(3.31690439727187e+001dB,2.12895448660290e-001°)
2.63651347711280e+003	(3.31690471644398e+001dB,1.89926921022966e-001°)
2.69792576518329e+003	(3.31690501443089e+001dB,1.67059375948400e-001°)
2.76076852920575e+003	(3.31690529191043e+001dB,1.44280664719012e-001°)
2.82507508924549e+003	(3.31690554951272e+001dB,1.21578686903181e-001°)
2.89087954149184e+003	(3.31690578782185e+001dB,9.89413838342407e-002°)
2.95821677633640e+003	(3.31690600737745e+001dB,7.63567321182121e-002°)
3.02712249687240e+003	(3.31690620867607e+001dB,5.38127371613655e-002°)
3.09763323782494e+003	(3.31690639217254e+001dB,3.12974267198860e-002°)
3.16978638492221e+003	(3.31690655828114e+001dB,8.79884446314394e-003°)
3.24362019471784e+003	(3.31690670737669e+001dB,-1.36949564509628e-002°)
3.31917381487510e+003	(3.31690683979550e+001dB,-3.61959197936562e-002°)
3.39648730492347e+003	(3.31690695583634e+001dB,-5.87159926777617e-002°)
3.47560165749873e+003	(3.31690705576110e+001dB,-8.12671319702650e-002°)
3.55655882007782e+003	(3.31690713979557e+001dB,-1.03861310710148e-001°)
3.63940171721994e+003	(3.31690720813000e+001dB,-1.26510524530820e-001°)
3.72417427332571e+003	(3.31690726091960e+001dB,-1.49226798095792e-001°)
3.81092143592647e+003	(3.31690729828498e+001dB,-1.72022191547511e-001°)
3.89968919951606e+003	(3.31690732031242e+001dB,-1.94908806976285e-001°)
3.99052462993773e+003	(3.31690732705418e+001dB,-2.17898794910191e-001°)
4.08347588933903e+003	(3.31690731852860e+001dB,-2.41004360832706e-001°)
4.17859226170805e+003	(3.31690729472023e+001dB,-2.64237771727680e-001°)
4.27592417900444e+003	(3.31690725557975e+001dB,-2.87611362660542e-001°)
4.37552324789908e+003	(3.31690720102394e+001dB,-3.11137543395292e-001°)
4.47744227713665e+003	(3.31690713093545e+001dB,-3.34828805056080e-001°)
4.58173530553552e+003	(3.31690704516257e+001dB,-3.58697726828247e-001°)
4.68845763063981e+003	(3.31690694351886e+001dB,-3.82756982714333e-001°)
4.79766583803895e+003	(3.31690682578275e+001dB,-4.07019348340918e-001°)
4.90941783137003e+003	(3.31690669169696e+001dB,-4.31497707822778e-001°)
5.02377286301913e+003	(3.31690654096796e+001dB,-4.56205060687998e-001°)
5.14079156553769e+003	(3.31690637326521e+001dB,-4.81154528869789e-001°)
5.26053598379073e+003	(3.31690618822039e+001dB,-5.06359363766597e-001°)
5.38306960785379e+003	(3.31690598542656e+001dB,-5.31832953377268e-001°)
5.50845740667629e+003	(3.31690576443706e+001dB,-5.57588829512717e-001°)
5.63676586252887e+003	(3.31690552476453e+001dB,-5.83640675091886e-001°)
5.76806300625317e+003	(3.31690526587968e+001dB,-6.10002331523928e-001°)
5.90241845333273e+003	(3.31690498720999e+001dB,-6.36687806181002e-001°)
6.03990344080399e+003	(3.31690468813827e+001dB,-6.63711279967052e-001°)
6.18059086502713e+003	(3.31690436800121e+001dB,-6.91087114990411e-001°)
6.32455532033671e+003	(3.31690402608761e+001dB,-7.18829862337082e-001°)
6.47187313859252e+003	(3.31690366163671e+001dB,-7.46954269957492e-001°)
6.62262242965177e+003	(3.31690327383621e+001dB,-7.75475290668378e-001°)
6.77688312278400e+003	(3.31690286182026e+001dB,-8.04408090274027e-001°)
6.93473700905058e+003	(3.31690242466720e+001dB,-8.33768055813651e-001°)
7.09626778467146e+003	(3.31690196139725e+001dB,-8.63570803940328e-001°)
7.26156109540197e+003	(3.31690147096997e+001dB,-8.93832189434609e-001°)
7.43070458194339e+003	(3.31690095228158e+001dB,-9.24568313862020e-001°)
7.60378792641117e+003	(3.31690040416202e+001dB,-9.55795534378122e-001°)
7.78090289988555e+003	(3.31689982537198e+001dB,-9.87530472685879e-001°)
7.96214341106988e+003	(3.31689921459955e+001dB,-1.01979002415493e+000°)
8.14760555608219e+003	(3.31689857045674e+001dB,-1.05259136710418e+000°)
8.33738766940664e+003	(3.31689789147576e+001dB,-1.08595197225924e+000°)
8.53159037603179e+003	(3.31689717610504e+001dB,-1.11988961238798e+000°)
8.73031664480325e+003	(3.31689642270503e+001dB,-1.15442237212290e+000°)
8.93367184301919e+003	(3.31689562954366e+001dB,-1.18956865797118e+000°)
9.14176379229743e+003	(3.31689479479153e+001dB,-1.22534720853742e+000°)
9.35470282574389e+003	(3.31689391651684e+001dB,-1.26177710493732e+000°)
9.57260184645269e+003	(3.31689299267984e+001dB,-1.29887778143986e+000°)
9.79557638736884e+003	(3.31689202112714e+001dB,-1.33666903632914e+000°)
1.00237446725454e+004	(3.31689099958539e+001dB,-1.37517104299307e+000°)
1.02572276798272e+004	(3.31688992565472e+001dB,-1.41440436126371e+000°)
1.04961492049954e+004	(3.31688879680171e+001dB,-1.45438994899022e+000°)
1.07406359274050e+004	(3.31688761035182e+001dB,-1.49514917388844e+000°)
1.09908174771524e+004	(3.31688636348138e+001dB,-1.53670382564400e+000°)
1.12468265038069e+004	(3.31688505320903e+001dB,-1.57907612830227e+000°)
1.15087987467430e+004	(3.31688367638654e+001dB,-1.62228875294006e+000°)
1.17768731071117e+004	(3.31688222968905e+001dB,-1.66636483064346e+000°)
1.20511917214871e+004	(3.31688070960461e+001dB,-1.71132796578953e+000°)
1.23319000372295e+004	(3.31687911242302e+001dB,-1.75720224965066e+000°)
1.26191468896038e+004	(3.31687743422389e+001dB,-1.80401227433383e+000°)
1.29130845806930e+004	(3.31687567086381e+001dB,-1.85178314706830e+000°)
1.32138689601518e+004	(3.31687381796274e+001dB,-1.90054050484794e+000°)
1.35216595078395e+004	(3.31687187088930e+001dB,-1.95031052944626e+000°)
1.38366194183786e+004	(3.31686982474510e+001dB,-2.00111996282276e+000°)
1.41589156876826e+004	(3.31686767434794e+001dB,-2.05299612292938e+000°)
1.44887192014997e+004	(3.31686541421375e+001dB,-2.10596691992657e+000°)
1.48262048260182e+004	(3.31686303853725e+001dB,-2.16006087284652e+000°)
1.51715515005835e+004	(3.31686054117120e+001dB,-2.21530712669335e+000°)
1.55249423325737e+004	(3.31685791560415e+001dB,-2.27173547001451e+000°)
1.58865646944855e+004	(3.31685515493644e+001dB,-2.32937635295891e+000°)
1.62566103232818e+004	(3.31685225185453e+001dB,-2.38826090584080e+000°)
1.66352754220533e+004	(3.31684919860338e+001dB,-2.44842095822308e+000°)
1.70227607640474e+004	(3.31684598695668e+001dB,-2.50988905854687e+000°)
1.74192717991215e+004	(3.31684260818487e+001dB,-2.57269849433230e+000°)
1.78250187626748e+004	(3.31683905302076e+001dB,-2.63688331296190e+000°)
1.82402167871180e+004	(3.31683531162244e+001dB,-2.70247834307925e+000°)
1.86650860159397e+004	(3.31683137353338e+001dB,-2.76951921662383e+000°)
1.90998517204286e+004	(3.31682722763937e+001dB,-2.83804239153594e+000°)
1.95447444191160e+004	(3.31682286212224e+001dB,-2.90808517513914e+000°)
2.00000000000000e+004	(3.31681826440975e+001dB,-2.97968574824966e+000°)
Step Information: G=31.25m  (Run: 2/7)
2.00000000000000e+001	(2.83629711725086e+001dB,6.35104954400191e+001°)
2.04658598456151e+001	(2.85117854476181e+001dB,6.25525103740186e+001°)
2.09425709610180e+001	(2.86568258894452e+001dB,6.15915519758656e+001°)
2.14303861047521e+001	(2.87980823854018e+001dB,6.06283614708573e+001°)
2.19295639228637e+001	(2.89355505189948e+001dB,5.96636781365086e+001°)
2.24403690860393e+001	(2.90692314950384e+001dB,5.86982371557671e+001°)
2.29630724299377e+001	(2.91991320439376e+001dB,5.77327675313829e+001°)
2.34979510987906e+001	(2.93252643060968e+001dB,5.67679900709011e+001°)
2.40452886923483e+001	(2.94476456976081e+001dB,5.58046154509357e+001°)
2.46053754162476e+001	(2.95662987584595e+001dB,5.48433423685285e+001°)
2.51785082358833e+001	(2.96812509845719e+001dB,5.38848557865127e+001°)
2.57649910338627e+001	(2.97925346450297e+001dB,5.29298252789040e+001°)
2.63651347711281e+001	(2.99001865859090e+001dB,5.19789034814391e+001°)
2.69792576518331e+001	(3.00042480221308e+001dB,5.10327246514874e+001°)
2.76076852920577e+001	(3.01047643187799e+001dB,5.00919033406903e+001°)
2.82507508924551e+001	(3.02017847633283e+001dB,4.91570331828359e+001°)
2.89087954149185e+001	(3.02953623301877e+001dB,4.82286857986679e+001°)
2.95821677633641e+001	(3.03855534389960e+001dB,4.73074098185647e+001°)
3.02712249687242e+001	(3.04724177080093e+001dB,4.63937300233006e+001°)
3.09763323782496e+001	(3.05560177039321e+001dB,4.54881466024364e+001°)
3.16978638492223e+001	(3.06364186894736e+001dB,4.45911345292666e+001°)
3.24362019471786e+001	(3.07136883698694e+001dB,4.37031430506842e+001°)
3.31917381487512e+001	(3.07878966395528e+001dB,4.28245952898083e+001°)
3.39648730492349e+001	(3.08591153301034e+001dB,4.19558879587513e+001°)
3.47560165749875e+001	(3.09274179605436e+001dB,4.10973911784796e+001°)
3.55655882007784e+001	(3.09928794909921e+001dB,4.02494484023436e+001°)
3.63940171721997e+001	(3.10555760806250e+001dB,3.94123764395064e+001°)
3.72417427332573e+001	(3.11155848508315e+001dB,3.85864655741996e+001°)
3.81092143592649e+001	(3.11729836543927e+001dB,3.77719797764568e+001°)
3.89968919951609e+001	(3.12278508514488e+001dB,3.69691569997305e+001°)
3.99052462993776e+001	(3.12802650929586e+001dB,3.61782095605811e+001°)
4.08347588933906e+001	(3.13303051122953e+001dB,3.53993245954303e+001°)
4.17859226170808e+001	(3.13780495255585e+001dB,3.46326645892032e+001°)
4.27592417900446e+001	(3.14235766411221e+001dB,3.38783679705365e+001°)
4.37552324789910e+001	(3.14669642788737e+001dB,3.31365497681032e+001°)
4.47744227713668e+001	(3.15082895995390e+001dB,3.24073023225085e+001°)
4.58173530553554e+001	(3.15476289444206e+001dB,3.16906960481328e+001°)
4.68845763063984e+001	(3.15850576858173e+001dB,3.09867802392515e+001°)
4.79766583803898e+001	(3.16206500883231e+001dB,3.02955839147352e+001°)
4.90941783137006e+001	(3.16544791811458e+001dB,2.96171166956480e+001°)
5.02377286301916e+001	(3.16866166415150e+001dB,2.89513697100927e+001°)
5.14079156553772e+001	(3.17171326891905e+001dB,2.82983165197274e+001°)
5.26053598379076e+001	(3.17460959920172e+001dB,2.76579140624739e+001°)
5.38306960785383e+001	(3.17735735824128e+001dB,2.70301036060794e+001°)
5.50845740667633e+001	(3.17996307846152e+001dB,2.64148117073541e+001°)
5.63676586252890e+001	(3.18243311524619e+001dB,2.58119511721093e+001°)
5.76806300625321e+001	(3.18477364174193e+001dB,2.52214220110471e+001°)
5.90241845333277e+001	(3.18699064465314e+001dB,2.46431123871088e+001°)
6.03990344080403e+001	(3.18908992099127e+001dB,2.40768995500730e+001°)
6.18059086502718e+001	(3.19107707573704e+001dB,2.35226507544925e+001°)
6.32455532033675e+001	(3.19295752037037e+001dB,2.29802241573878e+001°)
6.47187313859256e+001	(3.19473647222009e+001dB,2.24494696924440e+001°)
6.62262242965182e+001	(3.19641895458275e+001dB,2.19302299178130e+001°)
6.77688312278404e+001	(3.19800979755816e+001dB,2.14223408349679e+001°)
6.93473700905062e+001	(3.19951363954784e+001dB,2.09256326764191e+001°)
7.09626778467150e+001	(3.20093492936167e+001dB,2.04399306604504e+001°)
7.26156109540202e+001	(3.20227792887790e+001dB,1.99650557113818e+001°)
7.43070458194344e+001	(3.20354671620175e+001dB,1.95008251442052e+001°)
7.60378792641121e+001	(3.20474518926845e+001dB,1.90470533127611e+001°)
7.78090289988560e+001	(3.20587706983794e+001dB,1.86035522209351e+001°)
7.96214341106993e+001	(3.20694590782953e+001dB,1.81701320966425e+001°)
8.14760555608224e+001	(3.20795508594692e+001dB,1.77466019286401e+001°)
